service;I;;;;
and;TTT;;;;
contractor;TTO;;;;
is;I;;;;
able;I;;;;
to;I;;;;
start;I;;;;
it.;I;;;;
</s>;END;;;;
<s>;START;13;1--3;TIME;
the;TI;;;;
elapsed;I;;;;
time;I;;;;
between;TDI;;;;
the;TFR;;;;
end;I;;;;
and;I;;;;
closure;I;;;;
of;I;;;;
the;I;;;;
installation;I;;;;
and;TTT;;;;
the;TTO;;;;
documentation;I;;;;
submission;I;;;;
</s>;END;;;;
<s>;START;13;1--4;TIME;
the;TI;;;;GOOD EXAMPLE OF IMPOSSIBLE FORMALIZATION
elapsed;I;;;;
time;I;;;;
between;TDI;;;;
repair;TFR;;;;
notification;I;;;;
and;TTT;;;;
repair;TTO;;;;
is;I;;;;
ended;I;;;;
and;I;;;;
closured.;I;;;;
</s>;END;;;;
<s>;START;17;1--12;TIME;
average;SC;;;;
time;TI;;;;
that;I;;;;
it;I;;;;
takes;I;;;;
the;I;;;;
REDES;I;;;;
department;I;;;;
of;I;;;;
the;I;;;;
ISC;I;;;;
to;I;;;;
solve;I;;;;
the;I;;;;
incident;I;;;;
of;I;;;;
the;I;;;;
user;I;;;;
from;TDI;;;;
that;TFR;;;;
it;I;;;;
is;I;;;;
communicated;I;;;;
to;I;;;;
REDES;I;;;;
until;TTT;;;;
the;TTO;;;;
user;I;;;;
is;I;;;;
notified;I;;;;
that;I;;;;
its;I;;;;
incident;I;;;;
due;I;;;;
to;I;;;;
the;I;;;;
blocked;I;;;;
domain;I;;;;
at;I;;;;
the;I;;;;
router;I;;;;
level;I;;;;
has;I;;;;
been;I;;;;
solved;I;;;;
</s>;END;;;;
<s>;START;11;1--1;TIME;
the;TI;;;;
elapsed;I;;;;
time;I;;;;
between;TDI;;;;
the;TFR;;;;
notification;I;;;;
to;I;;;;
contractor;I;;;;
of;I;;;;
the;I;;;;
intervention;I;;;;
requirement;I;;;;
and;TTT;;;;
its;TTO;;;;
planning;I;;;;
</s>;END;;;;
<s>;START;11;1--2;TIME;
The;TI;;;;
elapsed;I;;;;
time;I;;;;
between;TDI;;;;
the;TFR;;;;
resource;I;;;;
(technician);I;;;;
assignment;I;;;;
and;TTT;;;;
the;TTO;;;;
intervention;I;;;;
start;I;;;;
time.;I;;;;
</s>;END;;;;
<s>;START;11;1--3;TIME;
the;TI;;;;
elapsed;I;;;;
time;I;;;;
between;TDI;;;;
the;TFR;;;;
technician;I;;;;
arrival;I;;;;
to;I;;;;
headquarters;I;;;;
and;TTT;;;;
the;TTO;;;;
end;I;;;;
and;I;;;;
closure;I;;;;
of;I;;;;
the;I;;;;
intervention.;I;;;;
</s>;END;;;;
<s>;START;11;1--4;TIME;
the;TI;;;;
elapsed;I;;;;
time;I;;;;
between;TDI;;;;
the;TFR;;;;
end;I;;;;
and;I;;;;
closure;I;;;;
of;I;;;;
the;I;;;;
intervention;I;;;;
at;I;;;;
headquarters;I;;;;
and;TTT;;;;
the;TTO;;;;
documentation;I;;;;
submission;I;;;;
</s>;END;;;;
<s>;START;23;2--8;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
authorizing;TSE;;;;
payment;I;;;;
to;I;;;;
suppliers.;I;;;;
</s>;END;;;;
<s>;START;23;2--24;TIME;
Total;SC;;;;
elapsed;TI;;;;
time;I;;;;
from;TDI;;;;
time;I;;;;
product;TFR;;;;
is;I;;;;
received;I;;;;
to;TTT;;;;
time;I;;;;
it;TTO;;;;
is;I;;;;
passed;I;;;;
to;I;;;;
next;I;;;;
process;I;;;;
</s>;END;;;;
<s>;START;23;2--28;TIME;
The;DUMMY;;;;
average;SC;;;;
time;TI;;;;
associated;I;;;;
with;I;;;;
scheduling;TSE;;;;
the;I;;;;
shipment;I;;;;
of;I;;;;
the;I;;;;
return;I;;;;
of;I;;;;
MRO;I;;;;
product;I;;;;
</s>;END;;;;
<s>;START;23;2--30;TIME;
The;SC;;;;
average;I;;;;
time;TI;;;;
associated;I;;;;
from;TDI;;;;
transfer;TFR;;;;
until;TTT;;;;
product;TTO;;;;
is;I;;;;
moved;I;;;;
to;I;;;;
the;I;;;;
next;I;;;;
process;I;;;;
</s>;END;;;;
<s>;START;23;2--31;TIME;
The;SC;;;;
average;I;;;;
time;TI;;;;
associated;I;;;;
with;TSE;;;;
verifying;I;;;;
raw;I;;;;
material;I;;;;
product;I;;;;
</s>;END;;;;
<s>;START;16;1--13;TIME;
average;SC;;;;
time;TI;;;;
to;I;;;;
solve;TSE;;;;
an;I;;;;
incident;I;;;;
due;I;;;;
to;I;;;;
virus;I;;;;
</s>;END;;;;
<s>;START;18;1--3101;TIME;
Delays;TI;;;;
caused;TSE;;;;
by;I;;;;
committees;I;;;;
</s>;END;;;;
<s>;START;18;1--3102;TIME;
average;SC;;;;
time;TI;;;;
elevated;I;;;;
waiting;TSE;;;;
for;I;;;;
committee;I;;;;
</s>;END;;;;
<s>;START;18;1--3131;TIME;
Average;SC;;;;
time;TI;;;;
to;TSE;;;;
analyse;I;;;;
a;I;;;;
request;I;;;;
</s>;END;;;;
<s>;START;18;1--3132;TIME;
average;SC;;;;
time;TI;;;;
of;I;;;;
RFC;TSE;;;;
under;I;;;;
analysis;I;;;;
</s>;END;;;;
<s>;START;18;1--320;TIME;
Average;SC;;;;
lifetime;TI;;;;
of;I;;;;
an;TSE;;;;
RFC;I;;;;
per;GBI;;;;
contractor;GB;;;;
</s>;END;;;;
<s>;START;18;1--321;TIME;
Total;SC;;;;
lifetime;TI;;;;
of;I;;;;
an;TSE;;;;
RFC;I;;;;
per;GBI;;;;
contractor;GB;;;;
</s>;END;;;;
<s>;START;18;1--322;TIME;
Total;SC;;;;
Average;I;;;;
lifetime;TI;;;;
of;I;;;;
an;TSE;;;;
RFC;I;;;;
</s>;END;;;;
